CKEY;CREF;CNUM;CEND;TEXTCODE;NAME
;;;;26.9.25.;26.9.25. Восстановление зуба пломбой из амальгамы I, V класс по Блэку2
;;;;26.9.25.;26.9.25. Восстановление зуба пломбой из амальгамы I, V класс по Блэку2
;;;;26.9.26.;26.9.26. Восстановление зуба пломбой из амальгамы II класс по Блэку2
;;;;26.9.26.;26.9.26. Восстановление зуба пломбой из амальгамы II класс по Блэку2
;;;;26.9.27.;26.9.27. Наложение временной пломбы
;;;;26.9.27.;26.9.27. Наложение временной пломбы
;;;;26.9.28.;26.9.28. Снятие временной пломбы
;;;;26.9.28.;26.9.28. Снятие временной пломбы
;;;;26.9.29.;26.9.29. Трепанация зуба, искусственной коронки
;;;;26.9.29.;26.9.29. Трепанация зуба, искусственной коронки
;;;;26.9.3.;26.9.3. Диспансерный прием (осмотр, консультация) врача-стоматолога детского
;;;;26.9.30.;26.9.30. Пломбирование корневого канала зуба пастой
;;;;26.9.30.;26.9.30. Пломбирование корневого канала зуба пастой
;;;;26.9.31.;26.9.31. Пломбирование корневого канала зуба гуттаперчивыми штифтами
;;;;26.9.31.;26.9.31. Пломбирование корневого канала зуба гуттаперчивыми штифтами
;;;;26.9.32.;26.9.32. Наложение девитализирующей пасты
;;;;26.9.32.;26.9.32. Наложение девитализирующей пасты
;;;;26.9.33.;26.9.33. Пульпотомия (ампутация коронковой пульпы)
;;;;26.9.33.;26.9.33. Пульпотомия (ампутация коронковой пульпы)
;;;;26.9.34.;26.9.34. Экстирпация пульпы
;;;;26.9.34.;26.9.34. Экстирпация пульпы
;;;;26.9.35.;26.9.35. Временное шинирование при заболеваниях пародонта3
;;;;26.9.35.;26.9.35. Временное шинирование при заболеваниях пародонта3
;;;;26.9.36.;26.9.36. Удаление наддесневых и поддесневых зубных отложений в области зуба ручным методом4
;;;;26.9.36.;26.9.36. Удаление наддесневых и поддесневых зубных отложений в области зуба ручным методом4
;;;;26.9.36.;26.9.36. Удаление наддесневых и поддесневых зубных отложений в области зуба ручным методом4
;;;;26.9.37.;26.9.37. Избирательное полирование зуба
;;;;26.9.37.;26.9.37. Избирательное полирование зуба
;;;;26.9.38.;26.9.38. Инструментальная и медикаментозная обработка хорошо проходимого корневого канала
;;;;26.9.38.;26.9.38. Инструментальная и медикаментозная обработка хорошо проходимого корневого канала
;;;;26.9.39.;26.9.39. Инструментальная и медикаментозная обработка плохо проходимого корневого канала
;;;;26.9.39.;26.9.39. Инструментальная и медикаментозная обработка плохо проходимого корневого канала
;;;;26.9.4.;26.9.4. Прием (осмотр, консультация) врача- стоматолога первичный
;;;;26.9.40.;26.9.40. Временное пломбирование лекарственным препаратом корневого канала
;;;;26.9.40.;26.9.40. Временное пломбирование лекарственным препаратом корневого канала
;;;;26.9.41.;26.9.41. Закрытый кюретаж при заболеваниях пародонта в области зуба4
;;;;26.9.41.;26.9.41. Закрытый кюретаж при заболеваниях пародонта в области зуба4
;;;;26.9.42.;26.9.42. Распломбировка корневого канала ранее леченного пастой
;;;;26.9.42.;26.9.42. Распломбировка корневого канала ранее леченного пастой
;;;;26.9.43.;26.9.43. Распломбировка одного корневого канала ранее леченного фосфатцементом/резорцин- формальдегидным методом
;;;;26.9.43.;26.9.43. Распломбировка одного корневого канала ранее леченного фосфатцементом/резорцин- формальдегидным методом
;;;;26.9.5.;26.9.5. Прием (осмотр, консультация) врача- стоматолога повторный
;;;;26.9.6.;26.9.6. Диспансерный прием (осмотр, консультация) врача-стоматолога
;;;;26.9.7.;26.9.7. Прием (осмотр, консультация)  зубного врача первичный
;;;;26.9.8.;26.9.8. Прием (осмотр, консультация)  зубного врача повторный
;;;;26.9.9.;26.9.9. Диспансерный прием (осмотр, консультация) зубного врача
;;;;28.;28. ПЕРИТОНЕАЛЬНЫЙ ДИАЛИЗ
;;;;28.1.;28.1. Перитонеальный диализ
;;;;28.5.;28.5. Перитонеальный диализ с использованием автоматизированных технологий
;;;;28.6.;28.6. Перитонеальный диализ проточный
;;;;28.7.;28.7. Перитонеальный диализ при нарушении ультрафильтрации
;;;;3.;3. НЕОТЛОЖНАЯ ПОМОЩЬ В ТРАВМАТОЛОГИЧЕСКИХ ПУНКТАХ
;;;;3.1.;3.1. ПРИЕМ ВРАЧАМИ
;;;;3.1.1.;3.1.1. Прием (осмотр, консультация) врача - травматолога-ортопеда
;;;;3.2.;3.2. МАНИПУЛЯЦИИ:
;;;;3.2.1.;3.2.1. Инъекции шприцем одноразового применения (со стоимостью шприца)
;;;;3.2.2.;3.2.2. Новокаино-спиртовая блокада
;;;;3.2.3.;3.2.3. Хирургическая манипуляция: пункция, биопсия
;;;;3.2.4.;3.2.4. Перевязки
;;;;3.3.;3.3. ЛЕЧЕНИЕ:
;;;;3.3.1.;3.3.1. Амбулаторная хирургическая операция (вскрытие абсцессов, удаление атером и др.)
;;;;3.3.10.;3.3.10. Первичная хирургическая обработка раны после укуса клеща с введением иммуноглобулина против клещевого энцефалита
;;;;3.3.10.1.;3.3.10.1. ПХО раны после укуса клеща с введением иммуноглобулина против клещевого энцефалита для взрослых
;;;;3.3.10.1.;3.3.10.1. ПХО раны после укуса клеща с введением иммуноглобулина против клещевого энцефалита для взрослых
;;;;3.3.10.1.;3.3.10.1. ПХО раны после укуса клеща с введением иммуноглобулина против клещевого энцефалита для взрослых
;;;;3.3.10.2.;3.3.10.2. ПХО раны после укуса клеща с введением иммуноглобулина против клещевого энцефалита для детей
;;;;3.3.10.2.;3.3.10.2. ПХО раны после укуса клеща с введением иммуноглобулина против клещевого энцефалита для детей
;;;;3.3.10.2.;3.3.10.2. ПХО раны после укуса клеща с введением иммуноглобулина против клещевого энцефалита для детей
;;;;3.3.10.2.;3.3.10.2. ПХО раны после укуса клеща с введением иммуноглобулина против клещевого энцефалита для детей
;;;;3.3.2.;3.3.2. Наложение лангет
;;;;3.3.3.;3.3.3. Наложение гипсовых шин
;;;;3.3.4.;3.3.4. Наложение фанерных и проволочных шин
;;;;3.3.5.;3.3.5. Вправление и наложение гипсовых повязок при вывихах всех локализаций
;;;;3.3.6.;3.3.6. Наложение гипсовых и других марлевых повязок при растяжениях, деформациях суставов, сухожилий и мышц
;;;;3.3.7.;3.3.7. Первичная хирургическая обработка открытых ран всех локализаций, ожогов и отморожений с проведением противостолбнячных ме
;;;;3.3.8.;3.3.8. Удаление инородных тел, наложение повязок
;;;;3.3.9.;3.3.9. Первичная  хирургическая обработка открытых ран после укуса животных с проведением мероприятий по профилактике бешенства
;;;;3.3.9.;3.3.9. Первичная  хирургическая обработка открытых ран после укуса животных с проведением мероприятий по профилактике бешенства
;;;;3.3.9.;3.3.9. Первичная  хирургическая обработка открытых ран после укуса животных с проведением мероприятий по профилактике бешенства
;;;;3.4.;3.4. УЛЬТРАЗВУКОВЫЕ ИССЛЕДОВАНИЯ
;;;;3.4.1.;3.4.1. УЗИ органов брюшной полости: комплексно (печень+желчный пузырь+поджелудочная железа+селезенка) ВЗРОСЛЫМ
;;;;3.4.2.;3.4.2. УЗИ органов брюшной полости: комплексно (печень+желчный пузырь+поджелудочная железа+селезенка) ДЕТЯМ ДО 7 ЛЕТ
;;;;3.5.;3.5. РЕНТГЕНОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ
;;;;3.5.1.;3.5.1. Взрослым
;;;;3.5.1.1.;3.5.1.1. Органов грудной клетки
;;;;3.5.1.1.1.;3.5.1.1.1. Рентгенологические исследования органов грудной клетки: рентгеноскопия
;;;;3.5.1.1.2.;3.5.1.1.2. Обзорная рентгенография органов грудной клетки в двух проекциях
;;;;3.5.1.1.3.;3.5.1.1.3. Рентгенография ребер
;;;;3.5.1.1.4.;3.5.1.1.4. Рентгенография грудины
;;;;3.5.1.2.;3.5.1.2. Органов брюшной полости
;;;;3.5.1.2.1.;3.5.1.2.1. Рентгеноскопия органов брюшной полости
;;;;3.5.1.2.3.;3.5.1.2.3. Обзорная рентгенография органов брюшной полости в двух проекциях
;;;;3.5.1.3.;3.5.1.3. Костно-суставной системы
;;;;3.5.1.3.1.;3.5.1.3.1. Рентгенография позвоночника в двух проекциях
;;;;3.5.1.3.2.;3.5.1.3.2. Рентгенография костей скелета в двух проекциях на цифровом аппарате
;;;;3.5.1.3.3.;3.5.1.3.3. Рентгенография черепа в двух проекциях
;;;;3.5.1.3.4.;3.5.1.3.4. Рентгенография костей таза
;;;;3.5.1.3.5.;3.5.1.3.5. Рентгенография периферических участков скелета в двух проекциях
;;;;3.5.2.;3.5.2. Детям до 7 лет
;;;;3.5.2.1.;3.5.2.1. Органов грудной клетки
;;;;3.5.2.1.1.;3.5.2.1.1. Рентгенологические исследования органов грудной клетки: рентгеноскопия
;;;;3.5.2.1.2.;3.5.2.1.2. Обзорная рентгенография органов грудной клетки в двух проекциях
;;;;3.5.2.1.3.;3.5.2.1.3. Рентгенография ребер
;;;;3.5.2.1.4.;3.5.2.1.4. Рентгенография грудины
;;;;3.5.2.2.;3.5.2.2. Органов брюшной полости
;;;;3.5.2.2.1.;3.5.2.2.1. Рентгеноскопия органов брюшной полости
;;;;3.5.2.2.2.;3.5.2.2.2. Обзорная рентгенография органов брюшной полости в двух проекциях
;;;;3.5.2.3.;3.5.2.3. Костно-суставной системы
;;;;3.5.2.3.1.;3.5.2.3.1. Рентгенография позвоночника в двух проекциях
;;;;3.5.2.3.2.;3.5.2.3.2. Рентгенография черепа в двух проекциях
;;;;3.5.2.3.3.;3.5.2.3.3. Рентгенография костей таза
;;;;3.5.2.4.;3.5.2.4. Рентгенография периферических участков скелета:
;;;;3.5.2.4.1.;3.5.2.4.1. Рентгенография периферических участков скелета в двух проекциях
;;;;31.;31. Врачебное посещение
;;;;31.1.;31.1. Для детей
;;;;31.1.1.;31.1.1. Кардиолога
;;;;31.1.10.;31.1.10. Инфекциониста
;;;;31.1.11.;31.1.11. Травматолога-ортопеда
;;;;31.1.12.;31.1.12. Уролога
;;;;31.1.13.;31.1.13. Нейрохирурга
;;;;31.1.15.;31.1.15. Проктолога
;;;;31.1.16.;31.1.16. Хирурга (общая хирургия)
;;;;31.1.18.;31.1.18. Онколога
;;;;31.1.19.;31.1.19. Акушера-гинеколога
;;;;31.1.2.;31.1.2. Ревматолога
;;;;31.1.20.;31.1.20. Отоларинголога
;;;;31.1.21.;31.1.21. Офтальмолога
;;;;31.1.22.;31.1.22. Невролога
;;;;31.1.23.;31.1.23. Дерматолога
;;;;31.1.24.;31.1.24. Психиатра
;;;;31.1.25.;31.1.25. Фтизиатра
;;;;31.1.3.;31.1.3. Гастроэнтеролога
;;;;31.1.4.;31.1.4. Пульмонолога
;;;;31.1.5.;31.1.5. Эндокринолога
;;;;31.1.6.;31.1.6. Нефролога
;;;;31.1.7.;31.1.7. Гематолога
;;;;31.1.8.;31.1.8. Аллерголога
;;;;31.1.9.;31.1.9. Педиатра (общая педиатрия)
;;;;31.1.9.1.;31.1.9.1. Педиатра участкового
;;;;31.2.;31.2. Для взрослых
;;;;31.2.1.;31.2.1. Кардиолога
;;;;31.2.10.;31.2.10. Инфекциониста
;;;;31.2.11.;31.2.11. Травматолога-ортопеда
;;;;31.2.12.;31.2.12. Уролога
;;;;31.2.13.;31.2.13. Нейрохирурга
;;;;31.2.15.;31.2.15. Проктолога
;;;;31.2.16.;31.2.16. Хирурга (общая хирургия)
;;;;31.2.18.;31.2.18. Онколога
;;;;31.2.19.;31.2.19. Акушера-гинеколога
;;;;31.2.2.;31.2.2. Ревматолога
;;;;31.2.20.;31.2.20. Отоларинголога
;;;;31.2.21.;31.2.21. Офтальмолога
;;;;31.2.22.;31.2.22. Невролога
;;;;31.2.23.;31.2.23. Дерматолога
;;;;31.2.24.;31.2.24. Психиатра
;;;;31.2.25.;31.2.25. Нарколога
;;;;31.2.26.;31.2.26. Фтизиатра
;;;;31.2.27.;31.2.27. Венеролога
;;;;31.2.3.;31.2.3. Гастроэнтеролога
;;;;31.2.4.;31.2.4. Пульмонолога
;;;;31.2.5.;31.2.5. Эндокринолога
;;;;31.2.6.;31.2.6. Нефролога
;;;;31.2.7.;31.2.7. Гематолога
;;;;31.2.8.;31.2.8. Аллерголога
;;;;31.2.9.;31.2.9. Терапевта (общая терапия)
;;;;31.2.9.1.;31.2.9.1. Терапевта участкового
;;;;31.3.;31.3. Врача общей практики
;;;;31.4.;31.4. Медицинская сестра (врача общей практики)
;;;;31.5.;31.5. Фельдшера (для детей и взрослых, на самостоятельном при- еме вместо врача)
;;;;31.6.;31.6. Медицинская сестра кабинета (на самостоятельном приеме)
;;;;31.7.;31.7. Акушерка (на самостоятельном приеме)
;;;;32.;32. Профилактические медицинские осмотры и диспансеризация определенных категорий граждан
;;;;32.1.;32.1. Осмотры специалистов
;;;;32.1.1.;32.1.1. Прием (осмотр, консультация) врача-терапевта
;;;;32.1.10.;32.1.10. Прием (консультация) врача-акушера-гинеколога (диспансеризация детей- сирот)
;;;;32.1.11.;32.1.11. Прием (осмотр) врача - детского хирурга
;;;;32.1.12.;32.1.12. Прием (консультация) врача - детского хирурга   (диспансеризация детей- сирот)
;;;;32.1.13.;32.1.13. Прием (осмотр) врача - травматолога-ортопеда
;;;;32.1.14.;32.1.14. Прием (консультация) врача - травматолога-ортопеда (диспансеризация детей-сирот)
;;;;32.1.15.;32.1.15. Прием (осмотр) врача-педиатра
;;;;32.1.16.;32.1.16. Прием (консультация) врача-педиатра (диспансеризация детей-сирот)
;;;;32.1.17.;32.1.17. Прием (осмотр, консультация) врача-психиатра детского
;;;;32.1.18.;32.1.18. Прием (осмотр, консультация) врача-психиатра подросткового
;;;;32.1.19.;32.1.19. Прием (осмотр, консультация) врача-оториноларинголога
;;;;32.1.2.;32.1.2. Профилактический прием (консультация) врача-терапевта
;;;;32.1.20.;32.1.20. Прием (консультация) врача-оториноларинголога (диспансеризация детей- сирот)
;;;;32.1.21.;32.1.21. Прием (осмотр, консультация) врача-офтальмолога
;;;;32.1.22.;32.1.22. Прием (консультация) врача-офтальмолога  (диспансеризация детей- сирот)
;;;;32.1.23.;32.1.23. Прием (осмотр, консультация) врача-колопроктолога
;;;;32.1.24.;32.1.24. Прием (осмотр) врача - детского эндокринолога
;;;;32.1.25.;32.1.25. Прием (консультация) врача - детского эндокринолога   (диспансеризация детей-сирот)
;;;;32.1.26.;32.1.26. Профилактический прием (осмотр, консультация) врача-стоматолога детского
;;;;32.1.26.;32.1.26. Профилактический прием (осмотр, консультация) врача-стоматолога детского
;;;;32.1.27.;32.1.27. Профилактический прием (осмотр, консультация) врача-стоматолога для взрослых
;;;;32.1.3.;32.1.3. Прием (осмотр, консультация) врача-хирурга
;;;;32.1.4.;32.1.4. Прием (осмотр, консультация) врача-уролога
;;;;32.1.5.;32.1.5. Прием (осмотр) врача - детского уролога-андролога
;;;;32.1.6.;32.1.6. Прием (консультация) врача - детского уролога-андролога (диспансери- зация детей-сирот)
;;;;32.1.7.;32.1.7. Прием (осмотр, консультация) врача-невролога
;;;;32.1.8.;32.1.8. Прием (консультация) врача-невролога (диспансеризация детей-сирот)
;;;;32.1.9.;32.1.9. Прием (осмотр, консультация) врача-акушера-гинеколога
;;;;32.2.;32.2. Функциональные обследования
;;;;32.2.1.;32.2.1. Опрос (анкетирование) на выявление хронических неинфекционных заболеваний, факторов риска их развития, потребления нарко
;;;;32.2.10.;32.2.10. Осмотр фельдшером (акушеркой), включая  взятие мазка с шейки матки и цервикального канала на цитологическое исследовани
;;;;32.2.10.;32.2.10. Осмотр фельдшером (акушеркой), включая  взятие мазка с шейки матки и цервикального канала на цитологическое исследовани
;;;;32.2.2.;32.2.2. Определение относительного или абсолютного суммарного сердечно-сосудистого риска
;;;;32.2.3.;32.2.3. Профилактическое консультирование
;;;;32.2.3.;32.2.3. Профилактическое консультирование
;;;;32.2.4.;32.2.4. Углубленное профилактическое консультирование
;;;;32.2.5.;32.2.5. Измерение артериального давления на периферических артериях
;;;;32.2.6.;32.2.6. Антропометрические исследования  (Измерение роста  стоя, массы тела, окружности талии )
;;;;32.2.7.;32.2.7. Анализ окиси углерода выдыхаемого воздуха с определением карбоксигемоглобина
;;;;32.2.8.;32.2.8. Тонометрия глаза
;;;;32.2.9.;32.2.9. Аудиологический скрининг новорожденным - I этап (Исследование вызванной отоакустической эмиссии ).
;;;;32.2.9.;32.2.9. Аудиологический скрининг новорожденным - I этап (Исследование вызванной отоакустической эмиссии ).
;;;;32.24.;32.24. I этап диспансеризации взрослого населения в определенные возрастные периоды
;;;;32.24.1.;32.24.1. Диспансеризация мужчин в определенные возрастные периоды
;;;;32.24.1.1.;32.24.1.1. Мужчины 21, 24, 27, 30, 33 года
;;;;32.24.1.10.;32.24.1.10. Мужчины 75, 78, 81, 84 года
;;;;32.24.1.11.;32.24.1.11. Мужчины 87, 90, 93, 96, 99 лет
;;;;32.24.1.2.;32.24.1.2. Мужчины 36, 39, 42 года
;;;;32.24.1.3.;32.24.1.3. Мужчины 45 лет
;;;;32.24.1.4.;32.24.1.4. Мужчины 48, 54 года
;;;;32.24.1.5.;32.24.1.5. Мужчины 51 год
;;;;32.24.1.6.;32.24.1.6. Мужчины 57 лет
;;;;32.24.1.7.;32.24.1.7. Мужчины 60 лет
;;;;32.24.1.8.;32.24.1.8. Мужчины  63, 69 лет
;;;;32.24.1.9.;32.24.1.9. Мужчины 66, 72 года
;;;;32.24.2.;32.24.2. Диспансеризация женщин в определенные возрастные периоды
;;;;32.24.2.1.;32.24.2.1. Женщины 21, 24, 27 лет
;;;;32.24.2.10.;32.24.2.10. Женщины 69 лет
;;;;32.24.2.11.;32.24.2.11. Женщины 72 года
;;;;32.24.2.12.;32.24.2.12. Женщины 75, 78, 81, 84 года
;;;;32.24.2.13.;32.24.2.13. Женщины 87, 90, 93, 96, 99 лет
;;;;32.24.2.2.;32.24.2.2. Женщины 30,33,36 лет
;;;;32.24.2.3.;32.24.2.3. Женщины 39,42 года
;;;;32.24.2.4.;32.24.2.4. Женщины 45, 48 лет
;;;;32.24.2.5.;32.24.2.5. Женщины 51, 57 лет
;;;;32.24.2.6.;32.24.2.6. Женщины 54 года
;;;;32.24.2.7.;32.24.2.7. Женщины 60 года
;;;;32.24.2.8.;32.24.2.8. Женщины 63 года
;;;;32.24.2.9.;32.24.2.9. Женщины 66 лет
;;;;32.25.;32.25. Профилактический медицинский осмотр взрослого населения (в возрасте 18 лет и старше)
;;;;32.25.1.;32.25.1. Профилактический медицинский осмотр мужчин
;;;;32.25.1.1.;32.25.1.1. Мужчины до 45 лет
;;;;32.25.1.2.;32.25.1.2. Мужчины от 45 до 65 лет
;;;;32.25.1.3.;32.25.1.3. Мужчины страше 65 лет
;;;;32.25.2.;32.25.2. Профилактический медицинский осмотр женщин
;;;;32.25.2.1.;32.25.2.1. Женщины до 39 лет
;;;;32.25.2.2.;32.25.2.2. Женщины от 39 до 45 лет
;;;;32.25.2.3.;32.25.2.3. Женщины от 45 до 65 лет
;;;;32.25.2.4.;32.25.2.4. Женщины старше 65 лет
;;;;32.28.;32.28. Медицинские осмотры несовершеннолетних
;;;;32.28.1.;32.28.1. Профилактические осмотры несовершеннолетних
;;;;32.28.1.1.;32.28.1.1. Профилактические медицинские осмотры мальчиков
;;;;32.28.1.1.1.;32.28.1.1.1. Мальчики новорожденные (с проведением аудиологического скрининга в случае отсутствия сведений о его прохождении в и
;;;;32.28.1.1.10.;32.28.1.1.10. Мальчики, 6 месяцев
;;;;32.28.1.1.11.;32.28.1.1.11. Мальчики, 7 месяцев
;;;;32.28.1.1.12.;32.28.1.1.12. Мальчики, 8 месяцев
;;;;32.28.1.1.13.;32.28.1.1.13. Мальчики, 9 месяцев
;;;;32.28.1.1.14.;32.28.1.1.14. Мальчики, 10 месяцев
;;;;32.28.1.1.15.;32.28.1.1.15. Мальчики, 11 месяцев
;;;;32.28.1.1.16.;32.28.1.1.16. Мальчики, 12 месяцев
;;;;32.28.1.1.17.;32.28.1.1.17. Мальчики, 1 год 3 месяца
;;;;32.28.1.1.18.;32.28.1.1.18. Мальчики, 1 год 6 месяцев
;;;;32.28.1.1.2.;32.28.1.1.2. Мальчики новорожденные (без проведения аудиологического скрининга)
;;;;32.28.1.1.20.;32.28.1.1.20. Мальчики, 2 года
;;;;32.28.1.1.22.;32.28.1.1.22. Мальчики, 3 года
;;;;32.28.1.1.23.;32.28.1.1.23. Мальчики, 4 года
;;;;32.28.1.1.24.;32.28.1.1.24. Мальчики, 5 лет
;;;;32.28.1.1.25.;32.28.1.1.25. Мальчики, 6 лет
;;;;32.28.1.1.26.;32.28.1.1.26. Мальчики, 7 лет
;;;;32.28.1.1.27.;32.28.1.1.27. Мальчики, 8 лет
;;;;32.28.1.1.28.;32.28.1.1.28. Мальчики, 9 лет
;;;;32.28.1.1.29.;32.28.1.1.29. Мальчики, 10 лет
;;;;32.28.1.1.3.;32.28.1.1.3. Мальчики, 1 месяц (с проведением аудиологического скрининга в случае отсутствия сведений о его прохождении в истори
;;;;32.28.1.1.30.;32.28.1.1.30. Мальчики, 11 лет
;;;;32.28.1.1.31.;32.28.1.1.31. Мальчики, 12 лет
;;;;32.28.1.1.32.;32.28.1.1.32. Мальчики, 13 лет
;;;;32.28.1.1.33.;32.28.1.1.33. Мальчики, 14 лет
;;;;32.28.1.1.34.;32.28.1.1.34. Мальчики, 15 лет
;;;;32.28.1.1.35.;32.28.1.1.35. Мальчики, 16 лет
;;;;32.28.1.1.36.;32.28.1.1.36. Мальчики,17 лет
;;;;32.28.1.1.4.;32.28.1.1.4. Мальчики, 1 месяц (без проведения аудиологического скрининга)
;;;;32.28.1.1.5.;32.28.1.1.5. Мальчики, 2 месяца
;;;;32.28.1.1.6.;32.28.1.1.6. Мальчики, 3 месяца (с проведением аудиологического скрининга в случае отсутствия сведений о его прохождении в истор
;;;;32.28.1.1.7.;32.28.1.1.7. Мальчики, 3 месяца (без проведения аудиологического скрининга)
;;;;32.28.1.1.8.;32.28.1.1.8. Мальчики, 4 месяца
;;;;32.28.1.1.9.;32.28.1.1.9. Мальчики, 5 месяцев
;;;;32.28.1.2.;32.28.1.2. Профилактические медицинские осмотры девочек
;;;;32.28.1.2.1.;32.28.1.2.1. Девочки, новорожденные (с проведением аудиологического скрининга в случае отсутствия сведений о его прохождении в и
;;;;32.28.1.2.10.;32.28.1.2.10. Девочки, 6 месяцев
;;;;32.28.1.2.11.;32.28.1.2.11. Девочки, 7 месяцев
;;;;32.28.1.2.12.;32.28.1.2.12. Девочки, 8 месяцев
;;;;32.28.1.2.13.;32.28.1.2.13. Девочки, 9 месяцев
;;;;32.28.1.2.14.;32.28.1.2.14. Девочки, 10 месяцев
;;;;32.28.1.2.15.;32.28.1.2.15. Девочки, 11 месяцев
;;;;32.28.1.2.16.;32.28.1.2.16. Девочки, 12 месяцев
;;;;32.28.1.2.17.;32.28.1.2.17. Девочки, 1 год 3 месяца
;;;;32.28.1.2.18.;32.28.1.2.18. Девочки, 1 год 6 месяцев
;;;;32.28.1.2.2.;32.28.1.2.2. Девочки, новорожденные (без проведения аудиологического скрининга)
;;;;32.28.1.2.20.;32.28.1.2.20. Девочки, 2 года
;;;;32.28.1.2.22.;32.28.1.2.22. Девочки, 3 года
;;;;32.28.1.2.23.;32.28.1.2.23. Девочки, 4 года
;;;;32.28.1.2.24.;32.28.1.2.24. Девочки, 5 лет
;;;;32.28.1.2.25.;32.28.1.2.25. Девочки, 6 лет
;;;;32.28.1.2.26.;32.28.1.2.26. Девочки, 7 лет
;;;;32.28.1.2.27.;32.28.1.2.27. Девочки, 8 лет
;;;;32.28.1.2.28.;32.28.1.2.28. Девочки,9 лет
;;;;32.28.1.2.29.;32.28.1.2.29. Девочки, 10 лет
;;;;32.28.1.2.3.;32.28.1.2.3. Девочки,1 месяц (с проведением аудиологического скрининга в случае отсутствия сведений о его прохождении в истории
;;;;32.28.1.2.30.;32.28.1.2.30. Девочки, 11 лет
;;;;32.28.1.2.31.;32.28.1.2.31. Девочки, 12 лет
;;;;32.28.1.2.32.;32.28.1.2.32. Девочки, 13 лет
;;;;32.28.1.2.33.;32.28.1.2.33. Девочки, 14 лет
;;;;32.28.1.2.34.;32.28.1.2.34. Девочки, 15 лет
;;;;32.28.1.2.35.;32.28.1.2.35. Девочки, 16 лет
;;;;32.28.1.2.36.;32.28.1.2.36. Девочки, 17 лет
;;;;32.28.1.2.4.;32.28.1.2.4. Девочки, 1 месяц (без проведения аудиологического скрининга)
;;;;32.28.1.2.5.;32.28.1.2.5. Девочки, 2 месяца
;;;;32.28.1.2.6.;32.28.1.2.6. Девочки, 3 месяца (с проведением аудиологического скрининга в случае отсутствия сведений о его прохождении в истори
;;;;32.28.1.2.7.;32.28.1.2.7. Девочки, 3 месяца (без проведения аудиологического скрининга)
;;;;32.28.1.2.8.;32.28.1.2.8. Девочки, 4 месяца
;;;;32.28.1.2.9.;32.28.1.2.9. Девочки, 5 месяцев
;;;;32.29.;32.29. Диспансеризация пребывающих в стац.учр. детей-сирот и детей, находящихся в трудной жизненной ситуации
;;;;32.29.1.;32.29.1. Мальчики. Диспансеризация пребывающих в стац,учр. детей-сирот и детей, в трудной жизненной ситуации
;;;;32.29.1.1.;32.29.1.1. Мальчики от 0 до 3 лет (включая УЗИ тазобедренных суставов и нейросонографию в случае отсутствия сведений об их прох)
;;;;32.29.1.4.;32.29.1.4. Мальчики от 3 до 4 лет включительно
;;;;32.29.1.5.;32.29.1.5. Мальчики от 5 до 6 лет включительно
;;;;32.29.1.6.;32.29.1.6. Мальчики от 7 до 14 лет включительно
;;;;32.29.1.8.;32.29.1.8. Мальчики от 15 до 17 лет включительно
;;;;32.29.2.;32.29.2. Девочки. Диспансеризация пребывающих в стац,учр. детей-сирот и детей, в трудной жизненной ситуации
;;;;32.29.2.1.;32.29.2.1. Девочки от 0 до 3 лет (включая УЗИ тазобедренных суставов и нейросонографию в случае отсутствия сведений об их прох.)
;;;;32.29.2.4.;32.29.2.4. Девочки от 3 до 4 лет включительно
;;;;32.29.2.5.;32.29.2.5. Девочки от 5 до 6 лет включительно
;;;;32.29.2.6.;32.29.2.6. Девочки от 7 до 14 лет включительно
;;;;32.29.2.8.;32.29.2.8. Девочки от 15 до 17 лет включительно
;;;;32.3.;32.3. Лабораторные методы исследования
;;;;32.3.1.;32.3.1. Общий (клинический) анализ крови (Исследование уровня общего гемоглобина,   лейкоцитов, скорости оседания эритроцитов )
;;;;32.3.10.;32.3.10. Исследование уровня прогестерона в крови
;;;;32.3.11.;32.3.11. Исследование уровня соматотропного гормона в крови
;;;;32.3.12.;32.3.12. Исследование уровня общего тироксина (T4) сыворотки крови
;;;;32.3.13.;32.3.13. Исследование уровня общего трийодтиронина (T3) в крови
;;;;32.3.14.;32.3.14. Исследование тиреотропина сыворотки крови
;;;;32.3.15.;32.3.15. Исследование уровня пролактина в крови
;;;;32.3.16.;32.3.16. Исследование уровня лютеинизирующего гормона в сыворотке крови
;;;;32.3.17.;32.3.17. Исследование уровня фолликулостимулирующего гормона в сыворотке крови
;;;;32.3.18.;32.3.18. Исследование уровня общего тестостерона в крови
;;;;32.3.19.;32.3.19. Исследование уровня общего кортизола в крови
;;;;32.3.2.;32.3.2. Общий (клинический) анализ крови развернутый
;;;;32.3.20.;32.3.20. Исследование уровня 17-гидроксипрогестерона в пятнах крови (диагностика адреногенитального синдрома - неонатальный скри
;;;;32.3.21.;32.3.21. Исследование уровня иммунореактивного трипсина в пятнах крови (диагностика муковисцидоза - неонатальный скрининг)
;;;;32.3.22.;32.3.22. Исследование уровня галактозы в пятнах крови (неонатальный скрининг на галактоземию)
;;;;32.3.23.;32.3.23. Исследование уровня фенилаланина в пятнах крови (неонатальный скрининг на фенилкетонурию)
;;;;32.3.24.;32.3.24. Исследование уровня тиреотропного гормона в пятнах крови (неонатальный скрининг на врожденный гипотиреоз)
